<DATE>	<CLOSE>	<VOL>
20141030	1452,89	49073324158
20141031	1488,47	51863127433
20141103	1491,19	17481520523
20141105	1495,26	35993706175
20141106	1497,46	40485840607
20141107	1497,11	62435787319
20141110	1515,36	36072189835
20141111	1514,78	38459111229
20141112	1513,83	34100235041
20141113	1492,27	39369641894
20141114	1500,76	34296102848
20141117	1507,1	25778674454
20141118	1519,61	37626778528
20141119	1517,97	31482266937
20141120	1530,4	34907988978
20141121	1538,93	36353481324
20141124	1529,54	31750458255
20141125	1529,57	26151147336
20141126	1537,43	30877259958
20141127	1531,69	39939357345
20141128	1533,68	45610410708
20141201	1578,38	62166248251
20141202	1583,12	46843420167
20141203	1606,84	47389306057
20141204	1582,08	59378086980
20141205	1529,2	44052547228
20141208	1481,27	46772419082
20141209	1475,22	43732135318
20141210	1486,85	42337397882
20141211	1455,04	50594982820
20141212	1459,68	51200831401
20141215	1424,99	68027939909
20141216	1444,32	99708892851
20141217	1413,79	79354214527
20141218	1477,27	78761569805
20141219	1449,13	43489211810
20141222	1437,08	50209370839
20141223	1398,2	40711658735
20141224	1401,5	28015719243
20141225	1408,54	23569010203
20141226	1417,8	21938441630
20141229	1432,94	31782008617
20141230	1396,61	26156334473
20150105	1435,66	15320687285
20150106	1480,73	21268814897
20150108	1547,39	35505063516
20150109	1515,37	27223058410
20150112	1513,22	23419055856
20150113	1533,09	33133664935
20150114	1554,46	32105492806
20150115	1563,21	38679500660
20150116	1591,43	30068854489
20150119	1576,4	37167969626
20150120	1570,97	31919504256
20150121	1618,17	31259697570
20150122	1666,56	50131522012
20150123	1671,8	44311526698
20150126	1642,37	36919529789
20150127	1673,92	44461457724
20150128	1647,71	43016957356
20150129	1639,65	38654354336
20150130	1647,69	41682092114
20150202	1625,31	43204113857
20150203	1654,36	36684677691
20150204	1656,02	28406694409
20150205	1696,06	47193997103
20150206	1755,45	54221952383
20150209	1748,55	63280101174
20150210	1742,35	32450702270
20150211	1763,6	38491876240
20150212	1802,8	85319933357
20150213	1838,18	75313894394
20150216	1800,59	36790994748
20150217	1793,82	52881168864
20150218	1809,67	49388542824
20150219	1797,87	47713577864
20150220	1792,7	31928247145
20150224	1772,16	29693757499
20150225	1746,23	34882084448
20150226	1760,66	40878525521
20150227	1758,97	34816153558
20150302	1783,34	28597842943
20150303	1807,7	41033146650
20150304	1759,35	32963701938
20150305	1760,55	42976918874
20150306	1728,55	28339130028
20150310	1665,38	41262700014
20150311	1671,47	36032409936
20150312	1664,7	28247784352
20150313	1627,88	34064154241
20150316	1609,85	35828098909
20150317	1611,69	33791281594
20150318	1632,12	28577123436
20150319	1607,97	34622152099
20150320	1628,64	54299739452
20150323	1602,85	31172311202
20150324	1618,62	28491305662
20150325	1615,5	27484903291
20150326	1581,84	36714811490
20150327	1571,55	28812026020
20150330	1612,84	28725942381
20150331	1626,18	33742251613
20150401	1661,9	38455199985
20150402	1679,24	36856529940
20150403	1681,47	19351904486
20150406	1700,64	22728567010
20150407	1695,64	42156302192
20150408	1683,63	33256561914
20150409	1667,6	54277594144
20150410	1657,02	45171576856
20150413	1678,19	40607797915
20150414	1647,39	35857782278
20150415	1677,7	40037734888
20150416	1686,79	44360086518
20150417	1656,59	46513599503
20150420	1683,24	42410329020
20150421	1710,24	35500021585
20150422	1677,56	36991171384
20150423	1662,64	45687528041
20150424	1682,7	40403690139
20150427	1677,22	30771341743
20150428	1677,89	29507739404
20150429	1670,99	26159937335
20150430	1688,34	28924117712
20150505	1721,8	43125027992
20150506	1714,31	34467683587
20150507	1686,98	31098521960
20150508	1708,52	27195697237
20150512	1704,62	36154421259
20150513	1682,26	34856325968
20150514	1677,57	28121728762
20150515	1691,46	27819799310
20150518	1678,55	24398276737
20150519	1659,36	29501962952
20150520	1636,86	27479614193
20150521	1659,33	33027683176
20150522	1665,66	30634884998
20150525	1655,4	20420948220
20150526	1651,66	28194503099
20150527	1660,98	35786417716
20150528	1657,62	30309010225
20150529	1609,19	48082198702
20150601	1616,94	30875246625
20150602	1643,41	28435405398
20150603	1628,87	36210821998
20150604	1638,07	33645228033
20150605	1652,07	27827873364
20150608	1646,89	28510700896
20150609	1664,01	29188778226
20150610	1653,09	26617250922
20150611	1652,24	27749015557
20150615	1657,29	16553925388
20150616	1668,82	26617346477
20150617	1664,66	24988440340
20150618	1660,14	23118394361
20150619	1663,03	26196350748
20150622	1671,8	25538988011
20150623	1657,23	21998214130
20150624	1651,85	22392108289
20150625	1631,99	19923930891
20150626	1644,45	25595703087
20150629	1634,93	19158469469
20150630	1654,55	28374822458
20150701	1639,7	25085292936
20150702	1641,05	20472966669
20150703	1631,65	14641565563
20150706	1621,27	25053084669
20150707	1614,14	30569367381
20150708	1595	34970227613
20150709	1614,59	24711741425
20150710	1623,99	26147626552
20150713	1642,97	36864576019
20150714	1647,01	32488836341
20150715	1641,22	28224216593
20150716	1652,59	20173536045
20150717	1650,08	22136563101
20150720	1626,76	22460865407
20150721	1635,69	25349323922
20150722	1635,63	26862692731
20150723	1616,14	23062741161
20150724	1595,61	28837860037
20150727	1584,92	35777910902
20150728	1604,5	36511095579
20150729	1622,32	29880161765
20150730	1636,72	26758851204
20150731	1669	38825213612
20150803	1663,74	28020770408
20150804	1674,46	28420615882
20150805	1693,07	32158856424
20150806	1675,71	31888293343
20150807	1690,44	23675267619
20150810	1702,02	26308036402
20150811	1697,87	31498785759
20150812	1697,65	28603044801
20150813	1704,11	26640564079
20150814	1712,47	25961503163
20150817	1707,95	26216456403
20150818	1691,24	22759319652
20150819	1673,86	27424132779
20150820	1695,57	31893911929
20150821	1663,31	31172587927
20150824	1634,14	55532446893
20150825	1658,13	38323733852
20150826	1660,95	33226599969
20150827	1695,22	36548264407
20150828	1719,16	39788854447
20150831	1733,17	31957846027
20150901	1697,99	36516353193
20150902	1690,82	32130359306
20150903	1710,57	28714831441
20150904	1698,16	22594867129
20150907	1701,18	15677356931
20150908	1714,18	20234144144
20150909	1722,43	25665866136
20150910	1718,9	26313587477
20150911	1718,06	20355564692
20150914	1729,75	23254616054
20150915	1716,26	22870828140
20150916	1731,81	31761743733
20150917	1729,2	23027197955
20150918	1710,84	35420051358
20150921	1699,72	24417883513
20150922	1664,25	35910313194
20150923	1640,7	34893774005
20150924	1621,43	35934108194
20150925	1639,64	28866983905
20150928	1616,36	24565309868
20150929	1630,51	24978201787
20150930	1642,97	30818293880
20151001	1626,97	28123517312
20151002	1612,56	25808649289
20151005	1652,47	31964330042
20151006	1670,69	31262998864
20151007	1679,49	45806350106
20151008	1689,32	45815083216
20151009	1728,44	59473358331
20151012	1710,6	39708317518
20151013	1720,81	28711587828
20151014	1723,01	31761495366
20151015	1731,91	33996443767
20151016	1717	36611957731
20151019	1716,08	31353900203
20151020	1722,62	34615935057
20151021	1709,94	32619973850
